statecode,code,title,Level,employment,Employment RSE,"Employment per 1,000 jobs",Location quotient,Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
AL,33-0000,Protective Service Occupations,major,46620,1.60%,24.181,1.01,$18.22 ,$20.06 ,"$41,730 ",0.70%
AL,41-0000,Sales and Related Occupations,major,197660,1.10%,102.517,1.09,$13.64 ,$17.90 ,"$37,230 ",0.90%
AL,53-0000,Transportation and Material Moving Occupations,major,190000,1.00%,98.544,1.1,$14.48 ,$17.06 ,"$35,480 ",0.60%
CA,11-0000,Management Occupations,major,1199620,0.70%,72.573,1.15,$60.98 ,$68.00 ,"$141,440 ",0.50%
CA,13-0000,Business and Financial Operations Occupations,major,1131460,0.70%,68.45,1.07,$38.14 ,$43.31 ,"$90,090 ",0.60%
CA,15-0000,Computer and Mathematical Occupations,major,662110,1.00%,40.056,1.21,$58.03 ,$58.75 ,"$122,200 ",0.70%
CA,17-0000,Architecture and Engineering Occupations,major,316980,1.00%,19.176,1.11,$48.00 ,$52.18 ,"$108,540 ",0.60%
CA,19-0000,"Life, Physical, and Social Science Occupations",major,188490,1.70%,11.403,1.26,$38.43 ,$43.38 ,"$90,230 ",1.10%
CA,21-0000,Community and Social Service Occupations,major,301070,1.10%,18.214,1.15,$28.22 ,$30.68 ,"$63,820 ",0.60%
CA,23-0000,Legal Occupations,major,145660,2.20%,8.812,1.05,$57.38 ,$65.92 ,"$137,110 ",2.40%
CA,25-0000,Educational Instruction and Library Occupations,major,956890,0.50%,57.889,1,$29.88 ,$36.30 ,"$75,500 ",0.80%
CA,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,291090,2.60%,17.61,1.37,$30.93 ,$40.32 ,"$83,870 ",3.90%
CA,29-0000,Healthcare Practitioners and Technical Occupations,major,901180,0.70%,54.518,0.87,$48.11 ,$55.40 ,"$115,220 ",1.00%
CA,31-0000,Healthcare Support Occupations,major,1056580,0.70%,63.92,1.36,$14.37 ,$17.22 ,"$35,820 ",0.50%
CA,33-0000,Protective Service Occupations,major,387910,0.70%,23.467,0.98,$23.60 ,$31.33 ,"$65,170 ",0.40%
CA,35-0000,Food Preparation and Serving Related Occupations,major,1238040,0.70%,74.897,0.94,$14.86 ,$17.10 ,"$35,570 ",0.90%
CA,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,450060,0.90%,27.227,0.93,$17.48 ,$19.04 ,"$39,600 ",0.50%
CA,39-0000,Personal Care and Service Occupations,major,277030,1.80%,16.759,0.92,$15.40 ,$18.82 ,"$39,140 ",1.20%
CA,41-0000,Sales and Related Occupations,major,1462530,0.70%,88.478,0.94,$17.58 ,$24.94 ,"$51,860 ",0.60%
CA,43-0000,Office and Administrative Support Occupations,major,1923910,0.60%,116.39,0.9,$22.47 ,$23.78 ,"$49,460 ",0.20%
CA,45-0000,"Farming, Fishing, and Forestry Occupations",major,220060,1.10%,13.313,4.15,$14.30 ,$16.08 ,"$33,450 ",0.80%
CA,47-0000,Construction and Extraction Occupations,major,663570,0.80%,40.144,0.97,$29.07 ,$31.95 ,"$66,450 ",0.60%
CA,49-0000,"Installation, Maintenance, and Repair Occupations",major,506480,1.20%,30.64,0.77,$27.39 ,$28.69 ,"$59,680 ",0.50%
CA,51-0000,Production Occupations,major,799620,1.00%,48.374,0.81,$18.32 ,$21.83 ,"$45,400 ",0.40%
CA,53-0000,Transportation and Material Moving Occupations,major,1449500,0.90%,87.69,0.98,$18.18 ,$21.22 ,"$44,130 ",0.40%
CO,11-0000,Management Occupations,major,128110,1.00%,48.871,0.77,$60.80 ,$66.17 ,"$137,630 ",0.60%
CO,13-0000,Business and Financial Operations Occupations,major,221120,1.10%,84.352,1.31,$37.31 ,$40.56 ,"$84,370 ",0.70%
CO,15-0000,Computer and Mathematical Occupations,major,120800,1.50%,46.082,1.39,$48.16 ,$50.10 ,"$104,210 ",0.80%
CO,17-0000,Architecture and Engineering Occupations,major,68360,2.10%,26.078,1.51,$45.74 ,$47.66 ,"$99,140 ",1.10%
CO,19-0000,"Life, Physical, and Social Science Occupations",major,35930,2.80%,13.707,1.52,$37.25 ,$40.65 ,"$84,560 ",1.20%
CO,21-0000,Community and Social Service Occupations,major,44990,1.80%,17.163,1.08,$23.83 ,$26.89 ,"$55,920 ",1.00%
CO,23-0000,Legal Occupations,major,25280,1.90%,9.643,1.15,$39.37 ,$54.27 ,"$112,890 ",3.30%
CO,25-0000,Educational Instruction and Library Occupations,major,140110,0.80%,53.449,0.92,$23.96 ,$29.65 ,"$61,670 ",0.50%
CO,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,36660,2.30%,13.987,1.09,$27.54 ,$30.63 ,"$63,720 ",1.70%
CO,29-0000,Healthcare Practitioners and Technical Occupations,major,146210,0.90%,55.779,0.89,$37.32 ,$44.74 ,"$93,060 ",1.40%
CO,31-0000,Healthcare Support Occupations,major,95850,1.30%,36.566,0.78,$17.36 ,$17.60 ,"$36,610 ",0.60%
CO,33-0000,Protective Service Occupations,major,57130,1.40%,21.794,0.91,$23.21 ,$27.58 ,"$57,370 ",0.80%
CO,35-0000,Food Preparation and Serving Related Occupations,major,223030,1.00%,85.083,1.07,$14.38 ,$16.46 ,"$34,240 ",1.20%
CO,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,78860,1.70%,30.083,1.03,$17.17 ,$17.91 ,"$37,240 ",0.60%
CO,39-0000,Personal Care and Service Occupations,major,54790,2.00%,20.902,1.15,$14.64 ,$18.25 ,"$37,970 ",1.10%
CO,41-0000,Sales and Related Occupations,major,292670,1.10%,111.651,1.19,$17.91 ,$25.73 ,"$53,510 ",1.20%
CO,43-0000,Office and Administrative Support Occupations,major,313280,0.80%,119.513,0.92,$20.76 ,$22.00 ,"$45,770 ",0.30%
CO,45-0000,"Farming, Fishing, and Forestry Occupations",major,6130,6.10%,2.337,0.73,$15.32 ,$18.03 ,"$37,500 ",1.50%
CO,47-0000,Construction and Extraction Occupations,major,137060,1.40%,52.287,1.26,$23.39 ,$26.18 ,"$54,450 ",0.60%
CO,49-0000,"Installation, Maintenance, and Repair Occupations",major,103970,2.70%,39.663,1,$24.12 ,$27.10 ,"$56,380 ",0.50%
CO,51-0000,Production Occupations,major,97140,1.30%,37.056,0.62,$18.37 ,$21.83 ,"$45,400 ",0.50%
CO,53-0000,Transportation and Material Moving Occupations,major,193860,1.30%,73.956,0.82,$18.41 ,$21.88 ,"$45,500 ",0.50%
CT,11-0000,Management Occupations,major,130920,1.00%,83.201,1.32,$60.47 ,$66.21 ,"$137,710 ",0.70%
CT,13-0000,Business and Financial Operations Occupations,major,96560,1.20%,61.365,0.95,$38.03 ,$42.22 ,"$87,830 ",0.80%
CT,15-0000,Computer and Mathematical Occupations,major,46880,1.80%,29.79,0.9,$47.43 ,$47.35 ,"$98,490 ",1.00%
CT,17-0000,Architecture and Engineering Occupations,major,33850,2.40%,21.509,1.24,$43.85 ,$45.39 ,"$94,400 ",0.80%
CT,19-0000,"Life, Physical, and Social Science Occupations",major,12270,4.00%,7.795,0.86,$39.02 ,$44.44 ,"$92,430 ",2.80%
CT,21-0000,Community and Social Service Occupations,major,31930,2.70%,20.289,1.28,$27.08 ,$29.48 ,"$61,320 ",1.80%
CT,23-0000,Legal Occupations,major,14430,2.20%,9.17,1.1,$46.64 ,$55.92 ,"$116,310 ",2.80%
CT,25-0000,Educational Instruction and Library Occupations,major,116260,0.60%,73.884,1.27,$29.72 ,$33.95 ,"$70,610 ",0.40%
CT,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,19330,3.60%,12.283,0.95,$29.95 ,$36.18 ,"$75,250 ",2.30%
CT,29-0000,Healthcare Practitioners and Technical Occupations,major,103420,1.00%,65.723,1.05,$38.03 ,$48.22 ,"$100,300 ",1.20%
CT,31-0000,Healthcare Support Occupations,major,79350,1.50%,50.425,1.08,$17.25 ,$17.65 ,"$36,720 ",1.10%
CT,33-0000,Protective Service Occupations,major,36460,0.90%,23.171,0.96,$25.79 ,$28.17 ,"$58,590 ",0.60%
CT,35-0000,Food Preparation and Serving Related Occupations,major,110870,1.50%,70.46,0.89,$14.11 ,$16.41 ,"$34,130 ",1.20%
CT,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,53580,1.10%,34.052,1.17,$17.58 ,$18.92 ,"$39,350 ",1.00%
CT,39-0000,Personal Care and Service Occupations,major,33640,2.50%,21.38,1.17,$14.43 ,$18.21 ,"$37,870 ",1.40%
CT,41-0000,Sales and Related Occupations,major,137770,1.20%,87.556,0.93,$15.63 ,$23.64 ,"$49,180 ",1.20%
CT,43-0000,Office and Administrative Support Occupations,major,207730,0.70%,132.012,1.02,$22.54 ,$23.72 ,"$49,330 ",0.30%
CT,45-0000,"Farming, Fishing, and Forestry Occupations",major,920,13.20%,0.583,0.18,$16.35 ,$18.27 ,"$37,990 ",1.90%
CT,47-0000,Construction and Extraction Occupations,major,50010,2.30%,31.781,0.77,$29.31 ,$30.69 ,"$63,840 ",0.90%
CT,49-0000,"Installation, Maintenance, and Repair Occupations",major,52030,1.60%,33.062,0.84,$28.35 ,$28.66 ,"$59,620 ",0.70%
CT,51-0000,Production Occupations,major,89220,1.20%,56.701,0.95,$22.23 ,$24.26 ,"$50,460 ",0.50%
CT,53-0000,Transportation and Material Moving Occupations,major,116140,1.30%,73.81,0.82,$17.90 ,$20.09 ,"$41,780 ",0.60%
DE,11-0000,Management Occupations,major,20400,2.30%,46.841,0.74,$61.41 ,$70.74 ,"$147,140 ",1.30%
DE,13-0000,Business and Financial Operations Occupations,major,32270,2.10%,74.087,1.15,$37.38 ,$41.82 ,"$86,990 ",1.30%
DE,15-0000,Computer and Mathematical Occupations,major,16730,2.60%,38.418,1.16,$48.56 ,$49.07 ,"$102,060 ",0.80%
DE,17-0000,Architecture and Engineering Occupations,major,5670,6.50%,13.012,0.75,$44.65 ,$44.89 ,"$93,370 ",2.00%
DE,19-0000,"Life, Physical, and Social Science Occupations",major,5790,3.70%,13.287,1.47,$38.37 ,$44.09 ,"$91,700 ",2.30%
DE,21-0000,Community and Social Service Occupations,major,7330,3.80%,16.819,1.06,$22.66 ,$24.29 ,"$50,510 ",0.60%
DE,23-0000,Legal Occupations,major,5500,3.70%,12.617,1.51,$44.93 ,$57.34 ,"$119,260 ",5.60%
DE,25-0000,Educational Instruction and Library Occupations,major,25840,1.40%,59.331,1.02,$29.33 ,$29.63 ,"$61,630 ",1.00%
DE,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,3890,2.90%,8.935,0.69,$22.72 ,$26.38 ,"$54,870 ",2.00%
DE,29-0000,Healthcare Practitioners and Technical Occupations,major,30840,1.50%,70.801,1.14,$36.24 ,$44.57 ,"$92,700 ",2.40%
DE,31-0000,Healthcare Support Occupations,major,18610,1.30%,42.73,0.91,$14.38 ,$15.64 ,"$32,530 ",0.50%
DE,33-0000,Protective Service Occupations,major,9650,1.60%,22.148,0.92,$21.57 ,$25.08 ,"$52,160 ",0.80%
DE,35-0000,Food Preparation and Serving Related Occupations,major,37890,1.20%,86.988,1.09,$13.14 ,$14.33 ,"$29,800 ",1.00%
DE,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,15680,1.50%,35.991,1.23,$14.46 ,$16.56 ,"$34,440 ",2.70%
DE,39-0000,Personal Care and Service Occupations,major,8690,2.40%,19.939,1.09,$14.00 ,$16.48 ,"$34,280 ",1.60%
DE,41-0000,Sales and Related Occupations,major,45600,1.40%,104.675,1.11,$14.46 ,$22.12 ,"$46,010 ",1.50%
DE,43-0000,Office and Administrative Support Occupations,major,59220,1.30%,135.949,1.05,$18.72 ,$21.14 ,"$43,980 ",0.50%
DE,45-0000,"Farming, Fishing, and Forestry Occupations",major,830,7.00%,1.896,0.59,$16.48 ,$18.05 ,"$37,540 ",1.40%
DE,47-0000,Construction and Extraction Occupations,major,16700,2.20%,38.344,0.92,$23.05 ,$26.31 ,"$54,720 ",1.30%
DE,49-0000,"Installation, Maintenance, and Repair Occupations",major,15680,2.10%,36.007,0.91,$23.51 ,$26.31 ,"$54,730 ",0.70%
DE,51-0000,Production Occupations,major,17830,2.30%,40.922,0.69,$17.48 ,$20.72 ,"$43,110 ",1.00%
DE,53-0000,Transportation and Material Moving Occupations,major,34960,1.90%,80.264,0.89,$18.18 ,$19.83 ,"$41,240 ",0.80%
,11-0000,Management Occupations,major,96600,1.30%,145.931,2.31,$72.65 ,$75.25 ,"$156,530 ",0.70%
,13-0000,Business and Financial Operations Occupations,major,114670,1.60%,173.228,2.7,$48.38 ,$50.15 ,"$104,310 ",0.60%
,15-0000,Computer and Mathematical Occupations,major,49000,3.30%,74.022,2.24,$53.17 ,$54.68 ,"$113,720 ",1.40%
,17-0000,Architecture and Engineering Occupations,major,11580,5.80%,17.497,1.01,$54.83 ,$56.33 ,"$117,160 ",1.30%
,19-0000,"Life, Physical, and Social Science Occupations",major,20770,2.90%,31.38,3.47,$51.51 ,$54.04 ,"$112,400 ",1.10%
,21-0000,Community and Social Service Occupations,major,10060,5.10%,15.201,0.96,$30.01 ,$33.82 ,"$70,340 ",2.20%
,23-0000,Legal Occupations,major,38110,2.50%,57.577,6.89,$82.06 ,$85.34 ,"$177,510 ",1.40%
,25-0000,Educational Instruction and Library Occupations,major,30890,1.30%,46.659,0.8,$36.13 ,$37.59 ,"$78,190 ",0.90%
,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,36160,2.80%,54.627,4.24,$38.85 ,$47.65 ,"$99,120 ",2.20%
,29-0000,Healthcare Practitioners and Technical Occupations,major,28580,1.70%,43.168,0.69,$38.37 ,$51.13 ,"$106,340 ",2.50%
,31-0000,Healthcare Support Occupations,major,17980,3.50%,27.164,0.58,$15.33 ,$17.87 ,"$37,170 ",0.60%
,33-0000,Protective Service Occupations,major,28700,1.10%,43.356,1.8,$29.84 ,$34.93 ,"$72,650 ",0.50%
,35-0000,Food Preparation and Serving Related Occupations,major,32260,3.60%,48.728,0.61,$17.08 ,$20.12 ,"$41,840 ",3.60%
,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,16100,2.80%,24.327,0.83,$18.16 ,$18.82 ,"$39,140 ",1.00%
,39-0000,Personal Care and Service Occupations,major,7200,9.30%,10.871,0.6,$17.71 ,$21.78 ,"$45,300 ",4.30%
,41-0000,Sales and Related Occupations,major,20500,4.00%,30.969,0.33,$17.98 ,$26.97 ,"$56,090 ",3.50%
,43-0000,Office and Administrative Support Occupations,major,61660,2.40%,93.144,0.72,$23.65 ,$27.72 ,"$57,660 ",1.10%
,45-0000,"Farming, Fishing, and Forestry Occupations",major,,,,,$24.77 ,$25.73 ,"$53,530 ",10.40%
,47-0000,Construction and Extraction Occupations,major,12120,3.50%,18.308,0.44,$29.02 ,$30.70 ,"$63,860 ",1.60%
,49-0000,"Installation, Maintenance, and Repair Occupations",major,9330,3.80%,14.1,0.36,$29.13 ,$30.55 ,"$63,550 ",1.30%
,51-0000,Production Occupations,major,4670,5.50%,7.054,0.12,$29.82 ,$32.29 ,"$67,170 ",2.00%
,53-0000,Transportation and Material Moving Occupations,major,14720,4.30%,22.244,0.25,$22.83 ,$26.05 ,"$54,190 ",1.30%
FL,11-0000,Management Occupations,major,502370,0.90%,58.378,0.92,$45.82 ,$52.63 ,"$109,470 ",0.50%
FL,13-0000,Business and Financial Operations Occupations,major,596080,0.90%,69.266,1.08,$29.83 ,$35.26 ,"$73,350 ",0.50%
FL,15-0000,Computer and Mathematical Occupations,major,229040,1.50%,26.615,0.81,$37.68 ,$41.13 ,"$85,540 ",0.80%
FL,17-0000,Architecture and Engineering Occupations,major,112270,1.40%,13.046,0.75,$37.14 ,$39.91 ,"$83,010 ",0.90%
FL,19-0000,"Life, Physical, and Social Science Occupations",major,47300,2.70%,5.497,0.61,$28.48 ,$32.01 ,"$66,580 ",1.10%
FL,21-0000,Community and Social Service Occupations,major,105990,1.40%,12.316,0.77,$22.31 ,$23.56 ,"$49,000 ",0.90%
FL,23-0000,Legal Occupations,major,95950,3.60%,11.15,1.33,$31.68 ,$48.30 ,"$100,460 ",3.50%
FL,25-0000,Educational Instruction and Library Occupations,major,397860,0.50%,46.233,0.8,$23.52 ,$26.77 ,"$55,680 ",0.50%
FL,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,104610,2.00%,12.156,0.94,$23.11 ,$27.46 ,"$57,120 ",1.80%
FL,29-0000,Healthcare Practitioners and Technical Occupations,major,563590,0.70%,65.491,1.05,$29.77 ,$39.85 ,"$82,890 ",1.00%
FL,31-0000,Healthcare Support Occupations,major,285180,1.10%,33.139,0.71,$14.24 ,$15.90 ,"$33,070 ",0.40%
FL,33-0000,Protective Service Occupations,major,255210,1.90%,29.656,1.23,$18.39 ,$22.56 ,"$46,920 ",1.00%
FL,35-0000,Food Preparation and Serving Related Occupations,major,818970,0.80%,95.167,1.2,$12.00 ,$13.68 ,"$28,450 ",0.60%
FL,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,297250,1.10%,34.541,1.18,$13.90 ,$14.55 ,"$30,270 ",0.50%
FL,39-0000,Personal Care and Service Occupations,major,180080,3.40%,20.925,1.15,$13.52 ,$15.00 ,"$31,190 ",1.00%
FL,41-0000,Sales and Related Occupations,major,969590,0.70%,112.67,1.2,$14.22 ,$20.71 ,"$43,070 ",0.60%
FL,43-0000,Office and Administrative Support Occupations,major,1247660,0.80%,144.982,1.12,$17.83 ,$19.31 ,"$40,170 ",0.20%
FL,45-0000,"Farming, Fishing, and Forestry Occupations",major,16000,3.80%,1.86,0.58,$13.39 ,$14.88 ,"$30,940 ",1.80%
FL,47-0000,Construction and Extraction Occupations,major,398060,1.00%,46.256,1.11,$19.17 ,$21.85 ,"$45,450 ",0.50%
FL,49-0000,"Installation, Maintenance, and Repair Occupations",major,375640,1.00%,43.65,1.1,$22.13 ,$22.67 ,"$47,150 ",0.40%
FL,51-0000,Production Occupations,major,286060,1.00%,33.241,0.56,$17.48 ,$18.70 ,"$38,900 ",0.40%
FL,53-0000,Transportation and Material Moving Occupations,major,720860,0.80%,83.766,0.93,$14.98 ,$18.66 ,"$38,810 ",0.60%
GA,11-0000,Management Occupations,major,295090,1.10%,67.397,1.07,$47.43 ,$55.39 ,"$115,210 ",0.70%
GA,13-0000,Business and Financial Operations Occupations,major,315810,1.10%,72.129,1.12,$32.11 ,$37.15 ,"$77,270 ",0.80%
GA,15-0000,Computer and Mathematical Occupations,major,151670,1.90%,34.64,1.05,$46.32 ,$46.43 ,"$96,570 ",1.30%
GA,17-0000,Architecture and Engineering Occupations,major,61470,2.10%,14.04,0.81,$37.53 ,$41.18 ,"$85,660 ",1.20%
GA,19-0000,"Life, Physical, and Social Science Occupations",major,28240,2.10%,6.449,0.71,$30.24 ,$35.28 ,"$73,370 ",1.60%
GA,21-0000,Community and Social Service Occupations,major,49080,3.30%,11.21,0.71,$22.40 ,$24.74 ,"$51,460 ",1.00%
GA,23-0000,Legal Occupations,major,34590,2.80%,7.9,0.94,$35.95 ,$47.38 ,"$98,540 ",4.70%
GA,25-0000,Educational Instruction and Library Occupations,major,248070,1.60%,56.656,0.97,$26.37 ,$27.28 ,"$56,740 ",1.20%
GA,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,57100,3.10%,13.041,1.01,$23.51 ,$28.66 ,"$59,610 ",4.50%
GA,29-0000,Healthcare Practitioners and Technical Occupations,major,250410,1.00%,57.192,0.92,$30.05 ,$39.95 ,"$83,100 ",1.50%
GA,31-0000,Healthcare Support Occupations,major,134320,2.10%,30.677,0.65,$14.04 ,$15.43 ,"$32,090 ",0.90%
GA,33-0000,Protective Service Occupations,major,107650,1.40%,24.586,1.02,$18.88 ,$21.23 ,"$44,170 ",1.00%
GA,35-0000,Food Preparation and Serving Related Occupations,major,367010,1.20%,83.823,1.05,$10.74 ,$12.32 ,"$25,620 ",1.40%
GA,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,105210,1.30%,24.029,0.82,$13.80 ,$14.63 ,"$30,420 ",0.80%
GA,39-0000,Personal Care and Service Occupations,major,67390,3.20%,15.391,0.84,$11.49 ,$14.31 ,"$29,760 ",2.60%
GA,41-0000,Sales and Related Occupations,major,447020,1.40%,102.097,1.09,$13.99 ,$20.44 ,"$42,520 ",1.40%
GA,43-0000,Office and Administrative Support Occupations,major,559050,0.90%,127.683,0.98,$17.81 ,$19.20 ,"$39,930 ",0.30%
GA,45-0000,"Farming, Fishing, and Forestry Occupations",major,9990,4.90%,2.282,0.71,$14.25 ,$16.90 ,"$35,160 ",2.10%
GA,47-0000,Construction and Extraction Occupations,major,140930,1.60%,32.188,0.78,$21.67 ,$23.00 ,"$47,840 ",0.90%
GA,49-0000,"Installation, Maintenance, and Repair Occupations",major,187600,1.40%,42.846,1.08,$22.66 ,$24.31 ,"$50,570 ",0.60%
GA,51-0000,Production Occupations,major,285340,0.90%,65.169,1.09,$17.48 ,$18.86 ,"$39,240 ",0.50%
GA,53-0000,Transportation and Material Moving Occupations,major,475380,1.10%,108.574,1.21,$16.50 ,$19.01 ,"$39,550 ",0.50%
,11-0000,Management Occupations,major,4890,3.40%,83.682,1.32,$30.11 ,$36.05 ,"$74,990 ",1.70%
,13-0000,Business and Financial Operations Occupations,major,2920,1.60%,50.051,0.78,$23.79 ,$26.95 ,"$56,060 ",0.80%
,15-0000,Computer and Mathematical Occupations,major,740,1.70%,12.605,0.38,$22.74 ,$24.96 ,"$51,920 ",0.80%
,17-0000,Architecture and Engineering Occupations,major,950,5.30%,16.225,0.94,$29.30 ,$31.31 ,"$65,120 ",1.80%
,19-0000,"Life, Physical, and Social Science Occupations",major,580,3.60%,9.959,1.1,$24.56 ,$29.12 ,"$60,570 ",1.90%
,21-0000,Community and Social Service Occupations,major,800,1.30%,13.747,0.86,$22.56 ,$22.10 ,"$45,970 ",1.00%
,23-0000,Legal Occupations,major,320,2.60%,5.412,0.65,$32.92 ,$38.25 ,"$79,560 ",4.90%
,25-0000,Educational Instruction and Library Occupations,major,4500,0.80%,77.14,1.33,$23.08 ,$22.44 ,"$46,680 ",0.60%
,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,450,3.30%,7.731,0.6,$14.14 ,$17.51 ,"$36,410 ",1.70%
,29-0000,Healthcare Practitioners and Technical Occupations,major,2060,2.10%,35.242,0.57,$22.71 ,$32.50 ,"$67,600 ",2.30%
,31-0000,Healthcare Support Occupations,major,1130,4.50%,19.345,0.41,$11.66 ,$13.31 ,"$27,670 ",1.30%
,33-0000,Protective Service Occupations,major,2450,0.90%,41.921,1.74,$18.09 ,$19.18 ,"$39,900 ",0.60%
,35-0000,Food Preparation and Serving Related Occupations,major,5580,3.00%,95.511,1.2,$9.86 ,$10.58 ,"$22,000 ",0.60%
,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,2170,6.70%,37.227,1.28,$9.78 ,$10.99 ,"$22,850 ",0.90%
,39-0000,Personal Care and Service Occupations,major,770,6.60%,13.129,0.72,$9.44 ,$10.72 ,"$22,310 ",1.80%
,41-0000,Sales and Related Occupations,major,4750,3.00%,81.281,0.86,$10.62 ,$12.42 ,"$25,830 ",1.50%
,43-0000,Office and Administrative Support Occupations,major,8030,1.10%,137.451,1.06,$14.05 ,$15.54 ,"$32,320 ",0.50%
,45-0000,"Farming, Fishing, and Forestry Occupations",major,60,7.90%,1.081,0.34,$15.21 ,$17.18 ,"$35,740 ",3.20%
,47-0000,Construction and Extraction Occupations,major,5790,5.40%,99.175,2.39,$17.35 ,$17.05 ,"$35,460 ",2.30%
,49-0000,"Installation, Maintenance, and Repair Occupations",major,3180,6.00%,54.479,1.38,$14.97 ,$17.87 ,"$37,170 ",2.30%
,51-0000,Production Occupations,major,1510,5.00%,25.828,0.43,$14.31 ,$16.34 ,"$33,980 ",1.60%
,53-0000,Transportation and Material Moving Occupations,major,4780,2.70%,81.778,0.91,$11.25 ,$14.96 ,"$31,120 ",1.00%
HI,11-0000,Management Occupations,major,35140,1.40%,64.077,1.01,$47.71 ,$53.13 ,"$110,500 ",0.80%
HI,13-0000,Business and Financial Operations Occupations,major,27150,1.70%,49.508,0.77,$32.04 ,$36.42 ,"$75,750 ",0.90%
HI,15-0000,Computer and Mathematical Occupations,major,11330,2.90%,20.651,0.63,$38.93 ,$43.17 ,"$89,800 ",2.00%
HI,17-0000,Architecture and Engineering Occupations,major,8550,3.30%,15.598,0.9,$39.72 ,$42.98 ,"$89,410 ",1.30%
HI,19-0000,"Life, Physical, and Social Science Occupations",major,6760,2.90%,12.321,1.36,$31.21 ,$35.84 ,"$74,540 ",1.30%
HI,21-0000,Community and Social Service Occupations,major,12180,2.90%,22.206,1.4,$23.73 ,$26.65 ,"$55,430 ",1.20%
HI,23-0000,Legal Occupations,major,4190,3.10%,7.64,0.91,$37.16 ,$41.49 ,"$86,300 ",2.70%
HI,25-0000,Educational Instruction and Library Occupations,major,37420,0.80%,68.241,1.17,$28.77 ,$28.35 ,"$58,960 ",0.60%
